Year,Site,HeterotrophicBacteria.Per.Ul,PicoEukaryotes.Per.Ul,Synechococcus.Per.Ul,Prochlorococcus.Per.Ul
2022,1,263.767,0.833,2.7,26.217
2022,2,285.733,0.85,4.267,34.967
2022,3,323.183,0.5,0.483,86.867
2022,4,302.233,0.567,2.65,39.05
2022,5,385.683,0.35,1,96.117
2022,6,346.767,0.417,1.633,95.133
2022,7,270.583,1.667,7.2,39.433
2022,8,346.267,1.217,4.467,58.833
2022,9,504.367,0.8,1.417,76
2022,10,301.4,0.567,0.55,88.783
2022,11,320.917,1.133,3.183,75.517
2022,12,256.883,0.683,1.583,30.717
2022,13,457.533,1.717,5.95,22.633
2022,14,322.55,0.35,0.7,90.267
2022,15,329.667,3.267,17.067,34.867
2022,16,181.7,0.783,1.767,8.167
2022,17,173.517,0.45,0.733,9.3
2022,19,281.883,0.383,1.8,73.383
2022,20,243.85,0.25,1.483,63.867
2022,21,305.883,0.617,1.6,15.383
2022,25,434.517,0.417,1.15,67.2
2022,26,334.667,0.783,2.05,45.783
2022,27,387.667,1.233,9.767,93.083
2022,28,250.617,0.45,2.517,48.4
2022,29,306.583,0.433,2.217,54.733
2022,31,332.2,0.517,3.783,76.833
2022,32,324.533,0.833,3.383,81.85
2022,33,276.967,0.617,6.917,13.683
2022,34,222.917,0.65,5.833,16.933
2022,35,280.967,0.667,3.2,15.1
2022,36,124.167,0.633,1.517,5.883
2022,37,407.1,1.333,6.867,27.833
2022,38,413.983,1.783,19.983,42.233
2022,39,372.45,0.783,5.967,46.65
2022,40,380.7,0.967,4.6,23.383
2022,41,337,0.933,6.117,52.9
2022,42,374.433,0.667,6.25,48.5
2022,43,418.117,0.717,7.583,81.933
2022,44,451.667,0.617,2.867,72.517
2022,45,233.983,0.917,22.883,35.267
2022,46,226.633,1.167,19,23.85
2022,47,435,0.9,0.733,52.683
2022,48,219.133,0.333,2.217,37.2
2022,49,318.5,3.05,14.033,39.817
2022,50,352.083,0.567,4.6,76.367
2022,51,299.383,1,26.95,31.867
2022,52,301.65,0.6,8.3,49.167
2022,53,420.283,1.2,8.833,11.883
2022,54,252.567,0.683,11.517,30.283
2022,56,244.35,0.65,9.533,42.917
2022,57,445.2,1.083,7.75,102.967
2022,58,392.9,0.567,7.667,81.117
2022,59,294.467,0.533,10.967,30.817
2022,60,269.633,0.733,9.467,64.017
2022,61,216.733,0.567,5.817,35.233
2022,62,263.017,0.55,8.05,40.6
2022,63,247.55,0.617,8.283,43.667
2022,64,232.317,0.9,4.95,34.85
2022,65,232.05,1.4,15.083,33.917
2022,66,348.517,1.183,32.333,34.533
2022,67,359.733,2.017,139.783,13.383
2022,68,218.8,1,43.3,7.3
2022,69,526.633,1.683,49.317,66.617
2022,70,272.767,0.45,1.1,57.133
2022,71,279.85,0.483,1.183,61.8
2022,72,255.933,0.333,2.583,65.167
2022,73,295.333,0.4,1.1,62
2022,74,283.2,0.5,1.267,64.483
2022,75,247.1,0.2,0.95,52.4
2022,76,243.467,0.267,1.117,62.067
2022,77,281.933,0.4,1.367,74.417
2022,78,319.65,0.517,1.317,73.817
2022,79,313.867,0.45,2.233,67.233
2022,80,276.25,1.3,1.733,24.733
2022,81,1011.783,0.583,1.867,85.483
2022,82,528.567,0.917,1.067,113.4
2022,83,761.483,0.45,1.133,92.267
2022,84,957.483,0.533,1.467,78.217
2022,85,506.2,0.567,1.05,66.6
2022,87,310.667,0.8,2.883,61.483
2022,89,359.8,0.5,2.6,89
2022,90,397.167,0.267,0.65,83.8
2022,91,368.017,0.617,0.8,73.95
2022,92,379.533,0.7,0.85,78.25
2022,93,279.133,0.3,1,43.733
2022,94,389.433,0.4,0.75,74.733
2022,95,409.983,0.483,0.75,83.117
2022,96,217.3,0.983,1.65,23.317
2022,99,100.833,0.433,0.367,6.55
2022,100,418.2,0.433,0.917,95.083
2022,101,357.75,0.617,0.733,91.433
2022,102,308.783,0.417,0.867,84.867
2022,103,222.317,0.383,0.45,32.683
2022,104,135.667,0.75,0.333,8.867
2022,105,236.8,0.283,0.467,53.483
2022,106,263.267,0.217,0.35,51.417
2022,107,404.617,0.983,3.2,36.467
2022,108,480.733,0.45,0.7,66.483
2022,109,718.5,0.367,0.95,60.15
2022,110,305.217,0.817,1.2,44.05
2022,111,337.733,0.917,7.767,36.833
2022,112,308.167,0.55,0.383,56.583
2022,113,553.183,1.833,2.233,19.883
2022,114,248.45,0.467,0.35,41.533
2022,115,189.617,0.2,1.6,32.833
2022,116,251.683,0.383,1.033,21.217
2022,117,323.533,1.05,5.367,59.883
2022,118,246.683,0.6,4.55,40.917
2022,119,295.333,0.8,9.183,86.45
2022,120,283.95,0.817,10.35,63.85
2022,121,187.733,0.717,3.35,21.1
2022,123,200.817,0.2,4.017,19.733
2022,127,211.767,0.333,3.05,20.3
2022,128,126.467,0.45,1.217,10.183
2022,130,394.983,1.367,65.25,17.133
2022,131,599.867,2.1,134.567,11.833
2022,132,294.983,0.7,32.1,16.817
2022,133,294.6,0.567,7.867,54.817
2022,134,208.233,0.467,4.4,21.05
2022,135,339.867,0.633,6.7,75.9
2022,136,208.083,0.467,3.417,21.917
2022,137,336.033,1.2,36.867,32.783
2022,138,397.35,0.817,4.5,14.117
2022,139,646.6,2.117,99.767,24.533
2022,140,337.95,1.183,54.15,6.267
2022,142,193.133,0.367,3.45,25.633
2022,143,243.683,0.45,11.117,19.683
2022,146,204.25,0.383,2.483,16.333
2022,147,245.483,1.117,19.9,31.083
2022,148,283.05,0.933,18.35,16.833
2022,149,2070.3,0.967,33.933,35.417
2022,150,251.983,0.95,14.267,35.1
2022,151,1109.233,0.9,34.75,30.317
2022,152,522.217,1.067,28.433,22.967
2022,153,316.517,0.6,12.433,61.1
2022,154,290.617,0.567,11.05,52.017
2022,155,227.4,0.367,4.633,22.067
2022,156,280.5,0.25,5.15,25.5
2022,157,316.017,1.383,36.55,25.65
2022,158,213.083,0.333,7.517,22.183
2022,159,395.367,0.967,83.15,23.117
2022,160,255.983,0.733,42.25,13.75
2022,161,225.483,0.75,3.95,40.2
2022,162,173.25,1.117,3.05,18.783
2022,163,374.5,0.983,20.283,35.533
2022,164,379.45,0.483,11.083,39.45
2022,165,166.35,0.783,6.233,11.517
2022,166,498.383,0.633,16.517,53.867
2022,167,803.933,2.283,35.9,73.317
2022,168,317.133,0.533,7.55,58.967
2022,169,384.567,0.933,14.683,35.85
2022,170,281.183,0.75,12.033,33.583
2022,172,192.7,0.367,0.467,16.333
2022,173,381.133,0.467,2.167,53.833
2022,175,274.733,0.483,0.867,29.65
2022,176,110.817,0.667,2.25,5.85
2022,177,223.383,0.917,13.033,22.217
2022,178,190.15,1.083,22.05,11.75
2022,179,314.4,0.917,27.217,36.933
2022,180,325.483,0.483,8.733,39.883
2022,181,325.983,0.967,27.567,45.05
2022,182,285.6,0.733,14.083,48.8
2022,183,300.2,0.833,26.033,34.633
2022,184,504,0.5,8.633,32.233
2022,185,223.45,0.75,17.067,28.633
2022,186,273.283,0.45,2.267,42.667
2022,187,213.983,0.7,15.4,27.9
2022,188,331.133,1.017,28.867,41.767
2022,200,228.317,0.383,4.183,22.867
2022,201,229.933,0.383,7.6,24.817
2022,202,725.133,0.883,2.033,44.117
2022,203,692.383,0.683,2.783,21.217
2022,204,300.383,0.35,1.617,30.717
2022,205,311.983,1.383,38.283,24.583
2022,206,563.983,1.05,13.35,43.283
2022,208,91.1,0.667,1.617,5.65
2022,209,350.133,0.65,3.233,76.817
2022,LTER_3_Backreef,277.117,0.35,0.967,47.2
2022,LTER_3_Fringe,228.717,0.233,1.05,35.833
2022,LTER_6_Fringe,287.333,0.883,1.433,10.617
2022,OPU 1,526.283,2.217,83.467,12.65
2022,OPU 2,253.85,0.817,28.117,5.1
